,quận huyện,tỉnh thành,mật độ dân số
0,An Biên,Kiên Giang,288
1,An Dương,Hải Phòng,1878
2,An Khê,Gia Lai,329
3,An Lão,Hải Phòng,1246
4,An Lão,Bình Định,40
5,An Minh,Kiên Giang,196
6,An Nhơn,Bình Định,719
7,An Phú,An Giang,657
8,Ân Thi,Hưng Yên,1034
9,Anh Sơn,Nghệ An,194
10,Ayun Pa,Gia Lai,139
11,Ba Bể,Bắc Kạn,71
12,Ba Chẽ,Quảng Ninh,36
13,Ba Đình,Hà Nội,24119
14,Ba Đồn,Quảng Bình,656
15,Bà Rịa,Bà Rịa – Vũng Tàu,1195
16,Bá Thước,Thanh Hóa,130
17,Ba Tơ,Quảng Ngãi,52
18,Ba Tri,Bến Tre,503
19,Ba Vì,Hà Nội,687
20,Bác Ái,Ninh Thuận,30
21,Bắc Bình,Bình Thuận,69
22,Bắc Giang,Bắc Giang,2616
23,Bắc Hà,Lào Cai,96
24,Bắc Kạn,Bắc Kạn,329
25,Bạc Liêu,Bạc Liêu,890
26,Bắc Mê,Hà Giang,64
27,Bắc Ninh,Bắc Ninh,2999
28,Bắc Quang,Hà Giang,107
29,Bắc Sơn,Lạng Sơn,103
30,Bắc Tân Uyên,Bình Dương,165
31,Bắc Trà My,Quảng Nam,49
32,Bắc Từ Liêm,Hà Nội,7529
33,Bắc Yên,Sơn La,61
34,Bạch Long Vĩ,Hải Phòng,201
35,Bạch Thông,Bắc Kạn,57
36,Bảo Lạc,Cao Bằng,59
37,Bảo Lâm,Cao Bằng,71
38,Bảo Lâm,Lâm Đồng,81
39,Bảo Lộc,Lâm Đồng,680
40,Bảo Thắng,Lào Cai,158
41,Bảo Yên,Lào Cai,105
42,Bát Xát,Lào Cai,72
43,Bàu Bàng,Bình Dương,273
44,Bến Cát,Bình Dương,1292
45,Bến Cầu,Tây Ninh,294
46,Bến Lức,Long An,631
47,Bến Tre,Bến Tre,1763
48,Biên Hòa,Đồng Nai,4004
49,Bỉm Sơn,Thanh Hóa,914
50,Bình Chánh,Thành phố Hồ Chí Minh,2792
51,Bình Đại,Bến Tre,321
52,Bình Gia,Lạng Sơn,48
53,Bình Giang,Hải Dương,1123
54,Bình Liêu,Quảng Ninh,67
55,Bình Long,Bình Phước,456
56,Bình Lục,Hà Nam,923
57,Bình Minh,Vĩnh Long,1013
58,Bình Sơn,Quảng Ngãi,388
59,Bình Tân,Thành phố Hồ Chí Minh,15109
60,Bình Tân,Vĩnh Long,605
61,Bình Thạnh,Thành phố Hồ Chí Minh,23998
62,Bình Thủy,Cần Thơ,1999
63,Bình Xuyên,Vĩnh Phúc,882
64,Bố Trạch,Quảng Bình,89
65,Bù Đăng,Bình Phước,93
66,Bù Đốp,Bình Phước,150
67,Bù Gia Mập,Bình Phước,80
68,Buôn Đôn,Đắk Lắk,46
69,Buôn Hồ,Đắk Lắk,349
70,Buôn Ma Thuột,Đắk Lắk,996
71,Cà Mau,Cà Mau,908
72,Cái Bè,Tiền Giang,703
73,Cai Lậy,Tiền Giang,891
74,Cai Lậy,Tiền Giang,656
75,Cái Nước,Cà Mau,328
76,Cái Răng,Cần Thơ,1578
77,Cẩm Giàng,Hải Dương,1343
78,Cẩm Khê,Phú Thọ,596
79,Cam Lâm,Khánh Hòa,199
80,Cẩm Lệ,Đà Nẵng,4450
81,Cam Lộ,Quảng Trị,139
82,Cẩm Mỹ,Đồng Nai,297
83,Cẩm Phả,Quảng Ninh,492
84,Cam Ranh,Khánh Hòa,400
85,Cẩm Thủy,Thanh Hóa,259
86,Cẩm Xuyên,Hà Tĩnh,235
87,Cần Đước,Long An,850
88,Cần Giờ,Thành phố Hồ Chí Minh,102
89,Cần Giuộc,Long An,999
90,Can Lộc,Hà Tĩnh,427
91,Càng Long,Trà Vinh,503
92,Cao Bằng,Cao Bằng,687
93,Cao Lãnh,Đồng Tháp,1536
94,Cao Lãnh,Đồng Tháp,402
95,Cao Lộc,Lạng Sơn,129
96,Cao Phong,Hòa Bình,178
97,Cát Hải,Hải Phòng,99
98,Cát Tiên,Lâm Đồng,83
99,Cầu Giấy,Hà Nội,23516
100,Cầu Kè,Trà Vinh,417
101,Cầu Ngang,Trà Vinh,369
102,Châu Đốc,An Giang,967
103,Châu Đức,Bà Rịa – Vũng Tàu,339
104,Châu Phú,An Giang,459
105,Châu Thành,An Giang,427
106,Châu Thành,Bến Tre,782
107,Châu Thành,Đồng Tháp,596
108,Châu Thành,Hậu Giang,633
109,Châu Thành,Kiên Giang,559
110,Châu Thành,Long An,708
111,Châu Thành,Sóc Trăng,403
112,Châu Thành,Tây Ninh,242
113,Châu Thành,Tiền Giang,1133
114,Châu Thành,Trà Vinh,420
115,Châu Thành A,Hậu Giang,636
116,Chi Lăng,Lạng Sơn,107
117,Chí Linh,Hải Dương,779
118,Chiêm Hóa,Tuyên Quang,117
119,Chợ Đồn,Bắc Kạn,54
120,Chợ Gạo,Tiền Giang,813
121,Chợ Lách,Bến Tre,659
122,Chợ Mới,An Giang,834
123,Chợ Mới,Bắc Kạn,64
124,Chơn Thành,Bình Phước,234
125,Chư Păh,Gia Lai,79
126,Chư Prông,Gia Lai,73
127,Chư Pưh,Gia Lai,108
128,Chư Sê,Gia Lai,190
129,Chương Mỹ,Hà Nội,1421
130,Cờ Đỏ,Cần Thơ,365
131,Cô Tô,Quảng Ninh,125
132,Cồn Cỏ,Quảng Trị,150
133,Con Cuông,Nghệ An,43
134,Côn Đảo,Bà Rịa – Vũng Tàu,117
135,Củ Chi,Thành phố Hồ Chí Minh,1063
136,Cư Jút,Đắk Nông,128
137,Cư Kuin,Đắk Lắk,351
138,Cù Lao Dung,Sóc Trăng,220
139,Cư M'gar,Đắk Lắk,215
140,Cửa Lò,Nghệ An,2002
141,Đà Bắc,Hòa Bình,71
142,Đạ Huoai,Lâm Đồng,69
143,Đakrông,Quảng Trị,35
144,Đà Lạt,Lâm Đồng,574
145,Đạ Tẻh,Lâm Đồng,82
146,Đại Lộc,Quảng Nam,245
147,Đại Từ,Thái Nguyên,299
148,Đak Đoa,Gia Lai,125
149,Đăk Glei,Kon Tum,33
150,Đắk Glong,Đắk Nông,47
151,Đăk Hà,Kon Tum,89
152,Đắk Mil,Đắk Nông,148
153,Đak Pơ,Gia Lai,80
154,Đắk R'lấp,Đắk Nông,131
155,Đắk Song,Đắk Nông,100
156,Đăk Tô,Kon Tum,93
157,Đầm Dơi,Cà Mau,217
158,Đầm Hà,Quảng Ninh,126
159,Đam Rông,Lâm Đồng,62
160,Đan Phượng,Hà Nội,2237
161,Đất Đỏ,Bà Rịa – Vũng Tàu,389
162,Dầu Tiếng,Bình Dương,156
163,Dĩ An,Bình Dương,6718
164,Di Linh,Lâm Đồng,99
165,Điện Bàn,Quảng Nam,1047
166,Điện Biên,Điện Biên,67
167,Điện Biên Đông,Điện Biên,55
168,Điện Biên Phủ,Điện Biên,261
169,Diễn Châu,Nghệ An,1025
170,Diên Khánh,Khánh Hòa,424
171,Định Hóa,Thái Nguyên,174
172,Đình Lập,Lạng Sơn,24
173,Định Quán,Đồng Nai,193
174,Đô Lương,Nghệ An,610
175,Đồ Sơn,Hải Phòng,1068
176,Đoan Hùng,Phú Thọ,380
177,Đơn Dương,Lâm Đồng,175
178,Đông Anh,Hà Nội,2186
179,Đống Đa,Hà Nội,37161
180,Đông Giang,Quảng Nam,31
181,Đông Hà,Quảng Trị,1310
182,Đông Hải,Bạc Liêu,268
183,Đông Hòa,Phú Yên,452
